Time Stamp,Type,Activity Id,Project Title,Outputs,Approval Date,GeoId,Name,Latitude,Longitude,Sectors,SectorCode,Donors,Commitments for this location,Disbursement for this location,Total Commitments,Total Disbursement,Transaction Type,CountryCode (ISO-2)
Wed Jun 26 03:00:01 NPT 2013,District,8723878812,Master Plan for the Lumbini World Peace City Preservation and Development,"
	ÿHistorical, Cultural environment will be sound",33:28.0,1282837,Rupandehi (Bhairahawa),27.66667,83.41667,"TOURISM - RECREATION,CULTURE AND RELIGION",16061,Korea International Cooperation Agency,2000000,433207,2000000,433207,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723880678,Strengthening Institutional Capacity of the DNPWC for the Effective Management of Mountain Protected Areas,,32:12.6,1282938,Parsa (Birgunj),27.33333,84.83333,GENERAL PUBLIC SERVICE - GENERAL ADMINISTRATION,16010,World Bank Trust Funds,100000,3000,500000,15000,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723880678,Strengthening Institutional Capacity of the DNPWC for the Effective Management of Mountain Protected Areas,,32:12.6,1283262,Kanchanpur (Mahendara Nagar),28.83333,80.33333,GENERAL PUBLIC SERVICE - GENERAL ADMINISTRATION,16010,World Bank Trust Funds,100000,3000,500000,15000,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723880678,Strengthening Institutional Capacity of the DNPWC for the Effective Management of Mountain Protected Areas,,32:12.6,1283663,Bardiya (Gulariya),28.33333,81.41667,GENERAL PUBLIC SERVICE - GENERAL ADMINISTRATION,16010,World Bank Trust Funds,100000,3000,500000,15000,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723880678,Strengthening Institutional Capacity of the DNPWC for the Effective Management of Mountain Protected Areas,,32:12.6,1283517,Chitwan (Bharatpur),27.58333,84.5,GENERAL PUBLIC SERVICE - GENERAL ADMINISTRATION,16010,World Bank Trust Funds,100000,3000,500000,15000,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723880678,Strengthening Institutional Capacity of the DNPWC for the Effective Management of Mountain Protected Areas,,32:12.6,1283676,Banke (Nepalgunj),28.16667,81.83333,GENERAL PUBLIC SERVICE - GENERAL ADMINISTRATION,16010,World Bank Trust Funds,100000,3000,500000,15000,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723895306,Improvement of Livelihoods in Rural Areas (ILRA),"1. Direct Food and Cash for food deficient households
2. Increased and diversified production
3. Skilled beneficiaries in off-farm business, skilled beneficiaries for commercial farming
4. Awareness raising and inclusion of disadvantaged in all project activities",15:30.0,1283699,Bajhang (Chainpur),29.66667,81.25,"WOMEN, CHILDREN & SOCIAL WELFARE - AGRICULTURE - Community development - FINANCIAL SERVICES - LIVELIHOOD",31193,Deutsche Gesellschaft f�r Internationale Zusammenarbeit - Deutsche Gesellschaft f�r Internationale Zusammenarbeit - Deutsche Gesellschaft f�r Internationale Zusammenarbeit,3007321,2859911,6014643,5719822,,NP
Wed Jun 26 03:00:01 NPT 2013,District,8723895306,Improvement of Livelihoods in Rural Areas (ILRA),"1. Direct Food and Cash for food deficient households
2. Increased and diversified production
3. Skilled beneficiaries in off-farm business, skilled beneficiaries for commercial farming
4. Awareness raising and inclusion of disadvantaged in all project activities",15:30.0,1283701,Baitadi (Baitadi),29.5,80.58333,"WOMEN, CHILDREN & SOCIAL WELFARE - AGRICULTURE - Community development - FINANCIAL SERVICES - LIVELIHOOD",31193,Deutsche Gesellschaft f�r Internationale Zusammenarbeit - Deutsche Gesellschaft f�r Internationale Zusammenarbeit - Deutsche Gesellschaft f�r Internationale Zusammenarbeit,3007321,2859911,6014643,5719822,,NP
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,ILO-DFID Partnership Programme on Fair Recruitment and Decent Work for Women Migrant Workers in South Asia and the Middle East,"
	Output 1: Women migrant workers and girls are empowered, in key source areas

	Output 2:ÿ Recruitment agencies adopt ethical practices and are subject to improved monitoring and enforcement by state authorities

	Output 3: Improved workplace practices and support services to safeguard the rights of women and girls

	Output 4: Laws and policies in place and implemented to protect women migrant workers and girls

	Output 5: New and better evidence is available on labour trafficking of women & girls within and from South Asia and on effective preventive measures",31:25.5,1283743,Achham (Mangalsen),29.08333,81.33333,"LABOUR - General economic, commercial and labour affairs - Unemployment - WOMEN, CHILDREN & SOCIAL WELFARE",16020,Department for International Development,99892,,1997840,,,NP
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,ILO-DFID Partnership Programme on Fair Recruitment and Decent Work for Women Migrant Workers in South Asia and the Middle East,"
	Output 1: Women migrant workers and girls are empowered, in key source areas

	Output 2:ÿ Recruitment agencies adopt ethical practices and are subject to improved monitoring and enforcement by state authorities

	Output 3: Improved workplace practices and support services to safeguard the rights of women and girls

	Output 4: Laws and policies in place and implemented to protect women migrant workers and girls

	Output 5: New and better evidence is available on labour trafficking of women & girls within and from South Asia and on effective preventive measures",31:25.5,1283431,Dholkha (Charikot),27.83333,86.25,"LABOUR - General economic, commercial and labour affairs - Unemployment - WOMEN, CHILDREN & SOCIAL WELFARE",16020,Department for International Development,99892,,1997840,,,NP
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,ILO-DFID Partnership Programme on Fair Recruitment and Decent Work for Women Migrant Workers in South Asia and the Middle East,"
	Output 1: Women migrant workers and girls are empowered, in key source areas

	Output 2:ÿ Recruitment agencies adopt ethical practices and are subject to improved monitoring and enforcement by state authorities

	Output 3: Improved workplace practices and support services to safeguard the rights of women and girls

	Output 4: Laws and policies in place and implemented to protect women migrant workers and girls

	Output 5: New and better evidence is available on labour trafficking of women & girls within and from South Asia and on effective preventive measures",31:25.5,1283040,Morang (Biratnagar),26.66667,87.5,"LABOUR - General economic, commercial and labour affairs - Unemployment - WOMEN, CHILDREN & SOCIAL WELFARE",16020,Department for International Development,199784,,1997840,,,NP
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,ILO-DFID Partnership Programme on Fair Recruitment and Decent Work for Women Migrant Workers in South Asia and the Middle East,"
	Output 1: Women migrant workers and girls are empowered, in key source areas

	Output 2:ÿ Recruitment agencies adopt ethical practices and are subject to improved monitoring and enforcement by state authorities

	Output 3: Improved workplace practices and support services to safeguard the rights of women and girls

	Output 4: Laws and policies in place and implemented to protect women migrant workers and girls

	Output 5: New and better evidence is available on labour trafficking of women & girls within and from South Asia and on effective preventive measures",31:25.5,1283262,Kanchanpur (Mahendara Nagar),28.83333,80.33333,"LABOUR - General economic, commercial and labour affairs - Unemployment - WOMEN, CHILDREN & SOCIAL WELFARE",16020,Department for International Development,199784,,1997840,,,NP
Wed Jun 26 03:00:01 NPT 2013,District,872381000000,ILO-DFID Partnership Programme on Fair Recruitment and Decent Work for Women Migrant Workers in South Asia and the Middle East,"
	Output 1: Women migrant workers and girls are empowered, in key source areas

	Output 2:ÿ Recruitment agencies adopt ethical practices and are subject to improved monitoring and enforcement by state authorities

	Output 3: Improved workplace practices and support services to safeguard the rights of women and girls

	Output 4: Laws and policies in place and implemented to protect women migrant workers and girls

	Output 5: New and better evidence is available on labour trafficking of women & girls within and from South Asia and on effective preventive measures",31:25.5,1282837,Rupandehi (Bhairahawa),27.66667,83.41667,"LABOUR - General economic, commercial and labour affairs - Unemployment - WOMEN, CHILDREN & SOCIAL WELFARE",16020,Department for International Development,199784,,1997840,,,NP
