ID,codigo_sisin,nombre_proyecto,objetivo_general,CostoTotal$us.,cod_entidad,sigla_entidad,entidad,cod_sector,sector,cod_subsector,subsector,cod_tipo_proyecto,tipoproyecto,departamento,municipio,fuente,fte_sigla,organismo,org_sigla,convenio,sisfin,numero_contrato,municipio,Cod_Mun,Lat_Fin,Long_Fin
343,0251000800000,DESAR. CONCURRENTE REGIONAL-PDCR,LOS GOBIERNOS MUNICIPALES LAS PREFECTURAS EL GOBIERNO NACIONAL Y LA SOCIEDAD CIVIL CONCIERTAN Y GESTIONAN LA INVERSI?N P?BLICA SOSTENIBLE EN SECTORES PRODUCTIVOS SELECCIONADOS PARA EL DESARROLLO LOCAL CON ENFOQUE TERRITORIAL ,3055,0051,MIN-AUT,Ministerio de Autonom°a,19,MULTISECTORIAL,19.4,FORTALECIMIENTO INSTITUCIONAL,19.4.1,PROGRAMAS DE FORTALECIMIENTO INSTITUCIONAL,NACIONAL,Multimunicipal,70,CREDEX,415,AIF,DESARROLLO CONCURRENTE REGIONAL PDCR II,04352,4378-BO,Multimunicipal,20101,-16.495723,-68.133580
344,0251000800000,DESAR. CONCURRENTE REGIONAL-PDCR,LOS GOBIERNOS MUNICIPALES LAS PREFECTURAS EL GOBIERNO NACIONAL Y LA SOCIEDAD CIVIL CONCIERTAN Y GESTIONAN LA INVERSI?N P?BLICA SOSTENIBLE EN SECTORES PRODUCTIVOS SELECCIONADOS PARA EL DESARROLLO LOCAL CON ENFOQUE TERRITORIAL ,4400380,0051,MIN-AUT,Ministerio de Autonom°a,19,MULTISECTORIAL,19.4,FORTALECIMIENTO INSTITUCIONAL,19.4.1,PROGRAMAS DE FORTALECIMIENTO INSTITUCIONAL,NACIONAL,Multimunicipal,70,CREDEX,415,AIF,DESARROLLO CONCURRENTE REGIONAL PDCR II,04352,4378-BO,Multimunicipal,20101,-16.495723,-68.133580
345,0251000800000,DESAR. CONCURRENTE REGIONAL-PDCR,LOS GOBIERNOS MUNICIPALES LAS PREFECTURAS EL GOBIERNO NACIONAL Y LA SOCIEDAD CIVIL CONCIERTAN Y GESTIONAN LA INVERSI?N P?BLICA SOSTENIBLE EN SECTORES PRODUCTIVOS SELECCIONADOS PARA EL DESARROLLO LOCAL CON ENFOQUE TERRITORIAL ,363140,0051,MIN-AUT,Ministerio de Autonom°a,19,MULTISECTORIAL,19.4,FORTALECIMIENTO INSTITUCIONAL,19.4.1,PROGRAMAS DE FORTALECIMIENTO INSTITUCIONAL,NACIONAL,Multimunicipal,70,CREDEX,415,AIF,DESARROLLO CONCURRENTE REGIONAL PDCR II,04352,4378-BO,Multimunicipal,20101,-16.495723,-68.133580
346,0251000800000,DESAR. CONCURRENTE REGIONAL-PDCR,LOS GOBIERNOS MUNICIPALES LAS PREFECTURAS EL GOBIERNO NACIONAL Y LA SOCIEDAD CIVIL CONCIERTAN Y GESTIONAN LA INVERSI?N P?BLICA SOSTENIBLE EN SECTORES PRODUCTIVOS SELECCIONADOS PARA EL DESARROLLO LOCAL CON ENFOQUE TERRITORIAL ,252480,0051,MIN-AUT,Ministerio de Autonom°a,19,MULTISECTORIAL,19.4,FORTALECIMIENTO INSTITUCIONAL,19.4.1,PROGRAMAS DE FORTALECIMIENTO INSTITUCIONAL,NACIONAL,Multimunicipal,70,CREDEX,415,AIF,DESARROLLO CONCURRENTE REGIONAL PDCR II,04352,4378-BO,Multimunicipal,20101,-16.495723,-68.133580
347,0251000800000,DESAR. CONCURRENTE REGIONAL-PDCR,LOS GOBIERNOS MUNICIPALES LAS PREFECTURAS EL GOBIERNO NACIONAL Y LA SOCIEDAD CIVIL CONCIERTAN Y GESTIONAN LA INVERSI?N P?BLICA SOSTENIBLE EN SECTORES PRODUCTIVOS SELECCIONADOS PARA EL DESARROLLO LOCAL CON ENFOQUE TERRITORIAL ,1390274,0051,MIN-AUT,Ministerio de Autonom°a,19,MULTISECTORIAL,19.4,FORTALECIMIENTO INSTITUCIONAL,19.4.1,PROGRAMAS DE FORTALECIMIENTO INSTITUCIONAL,NACIONAL,Multimunicipal,70,CREDEX,415,AIF,DESARROLLO CONCURRENTE REGIONAL PDCR II,04352,4378-BO,Multimunicipal,20101,-16.495723,-68.133580
348,0251000800000,DESAR. CONCURRENTE REGIONAL-PDCR,LOS GOBIERNOS MUNICIPALES LAS PREFECTURAS EL GOBIERNO NACIONAL Y LA SOCIEDAD CIVIL CONCIERTAN Y GESTIONAN LA INVERSI?N P?BLICA SOSTENIBLE EN SECTORES PRODUCTIVOS SELECCIONADOS PARA EL DESARROLLO LOCAL CON ENFOQUE TERRITORIAL ,80000,0051,MIN-AUT,Ministerio de Autonom°a,19,MULTISECTORIAL,19.4,FORTALECIMIENTO INSTITUCIONAL,19.4.1,PROGRAMAS DE FORTALECIMIENTO INSTITUCIONAL,NACIONAL,Multimunicipal,70,CREDEX,415,AIF,DESARROLLO CONCURRENTE REGIONAL PDCR II,04352,4378-BO,Multimunicipal,20101,-16.495723,-68.133580
361,0410021300000,APOYO AL DESAR. SOSTENIBLE LOCAL DEL LAGO TITICACA,MEJORAR Y APOYAR EL DESARROLLO TURISTICO DEL LAGO TITICACA,4255,0052,MIN-CULT,Ministerio de Culturas,3,INDUSTRIA Y TURISMO,3.3,TURISMO,3.3.1,PROMOCION Y DESARROLLO TURISTICO,LA PAZ,Multimunicipal GENERAL ELIODORO CAMACHO,70,CREDEX,415,AIF,DESARROLLO SOSTENIBLE DEL LAGO TITICACA,04355,4379-BO,Multimunicipal GENERAL ELIODORO CAMACHO,20401,-15.533396,-69.251922
362,0410021300000,APOYO AL DESAR. SOSTENIBLE LOCAL DEL LAGO TITICACA,MEJORAR Y APOYAR EL DESARROLLO TURISTICO DEL LAGO TITICACA,20023,0052,MIN-CULT,Ministerio de Culturas,3,INDUSTRIA Y TURISMO,3.3,TURISMO,3.3.1,PROMOCION Y DESARROLLO TURISTICO,LA PAZ,Multimunicipal GENERAL ELIODORO CAMACHO,70,CREDEX,415,AIF,DESARROLLO SOSTENIBLE DEL LAGO TITICACA,04355,4379-BO,Multimunicipal GENERAL ELIODORO CAMACHO,20401,-15.533396,-69.251922
363,0410021300000,APOYO AL DESAR. SOSTENIBLE LOCAL DEL LAGO TITICACA,MEJORAR Y APOYAR EL DESARROLLO TURISTICO DEL LAGO TITICACA,372547,0052,MIN-CULT,Ministerio de Culturas,3,INDUSTRIA Y TURISMO,3.3,TURISMO,3.3.1,PROMOCION Y DESARROLLO TURISTICO,LA PAZ,Multimunicipal GENERAL ELIODORO CAMACHO,70,CREDEX,415,AIF,DESARROLLO SOSTENIBLE DEL LAGO TITICACA,04355,4379-BO,Multimunicipal GENERAL ELIODORO CAMACHO,20401,-15.533396,-69.251922
364,0410021300000,APOYO AL DESAR. SOSTENIBLE LOCAL DEL LAGO TITICACA,MEJORAR Y APOYAR EL DESARROLLO TURISTICO DEL LAGO TITICACA,4939,0052,MIN-CULT,Ministerio de Culturas,3,INDUSTRIA Y TURISMO,3.3,TURISMO,3.3.1,PROMOCION Y DESARROLLO TURISTICO,LA PAZ,Multimunicipal GENERAL ELIODORO CAMACHO,70,CREDEX,415,AIF,DESARROLLO SOSTENIBLE DEL LAGO TITICACA,04355,4379-BO,Multimunicipal GENERAL ELIODORO CAMACHO,20401,-15.533396,-69.251922
365,0410021300000,APOYO AL DESAR. SOSTENIBLE LOCAL DEL LAGO TITICACA,MEJORAR Y APOYAR EL DESARROLLO TURISTICO DEL LAGO TITICACA,2869,0052,MIN-CULT,Ministerio de Culturas,3,INDUSTRIA Y TURISMO,3.3,TURISMO,3.3.1,PROMOCION Y DESARROLLO TURISTICO,LA PAZ,Multimunicipal GENERAL ELIODORO CAMACHO,70,CREDEX,415,AIF,DESARROLLO SOSTENIBLE DEL LAGO TITICACA,04355,4379-BO,Multimunicipal GENERAL ELIODORO CAMACHO,20401,-15.533396,-69.251922
